Book Title:,,,,,,,,,,,,,,,,,,,,,
Total Pages:,,,,,,,,,,,,,,,,,,,,,
Total Days:,,,,,,,,,,,,,,,,,,,,,
Avg Pages / Day:,,,,,,,,,,,,,,,,,,,,,
Schedule Start:,,,,,,,,,,,,,,,,,,,,,
Schedule End:,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Day #,Date,Plan Name,Day of Week,Book,Chapter or Section,Verse Range,Verses,Pages,Page Range,Plan #,Chapter (English),Segment Span,Chanting Guide,Chanting Guide(Sinhala),Chanting Guide(Bengali),Pali Word of the day,Pali Word of the day(Sinhali),Pali Word of the day(Bengali),notification title,notification body ,notification button text
92,13 Aug,,Fri,Vibhaṅgapāḷi,1. Khandhavibhaṅgo,150–152,3,3,319–321,,Analysis of the Aggregates,,,,,,,,,,
93,14 Aug,,Sat,Vibhaṅgapāḷi,1. Khandhavibhaṅgo,153,1,3,322–324,,Analysis of the Aggregates,,,,,,,,,,
94,15 Aug,,Sun,Vibhaṅgapāḷi,1. Khandhavibhaṅgo,—,,3,325–327,,Analysis of the Aggregates,,,,,,,,,,
95,16 Aug,"Days 95-97
The Analysis - Sense Bases",Mon,Vibhaṅgapāḷi,2. Āyatanavibhaṅgo,154–165,12,4,328–331,7,Analysis of the Sense Bases,,,,,,,,,,
96,17 Aug,,Tue,Vibhaṅgapāḷi,2. Āyatanavibhaṅgo,166–171,6,4,332–335,,Analysis of the Sense Bases,,,,,,,,,,
97,18 Aug,,Wed,Vibhaṅgapāḷi,2. Āyatanavibhaṅgo,—,,4,336–339,,Analysis of the Sense Bases,,,,,,,,,,
98,19 Aug,"Days 98-102
The Analysis - Elements",Thu,Vibhaṅgapāḷi,3. Dhātuvibhaṅgo,172–181,10,4,340–343,8,Analysis of the Elements,,,,,,,,,,
99,20 Aug,,Fri,Vibhaṅgapāḷi,3. Dhātuvibhaṅgo,182–184,3,3,344–346,,Analysis of the Elements,,,,,,,,,,
100,21 Aug,,Sat,Vibhaṅgapāḷi,3. Dhātuvibhaṅgo,186–187,2,3,347–349,,Analysis of the Elements,,,,,,,,,,
101,22 Aug,,Sun,Vibhaṅgapāḷi,3. Dhātuvibhaṅgo,188,1,3,350–352,,Analysis of the Elements,,,,,,,,,,
102,23 Aug,,Mon,Vibhaṅgapāḷi,3. Dhātuvibhaṅgo,—,,3,353–355,,Analysis of the Elements,,,,,,,,,,
103,24 Aug,"Days 103-107
The Analysis - Truths",Tue,Vibhaṅgapāḷi,4. Saccavibhaṅgo,189–203,15,4,356–359,9,Analysis of the Truths,,,,,,,,,,
104,25 Aug,,Wed,Vibhaṅgapāḷi,4. Saccavibhaṅgo,204–206,3,4,360–363,,Analysis of the Truths,,,,,,,,,,
105,26 Aug,,Thu,Vibhaṅgapāḷi,4. Saccavibhaṅgo,207–212,6,4,364–367,,Analysis of the Truths,,,,,,,,,,
106,27 Aug,,Fri,Vibhaṅgapāḷi,4. Saccavibhaṅgo,213–218,6,4,368–371,,Analysis of the Truths,,,,,,,,,,
107,28 Aug,,Sat,Vibhaṅgapāḷi,4. Saccavibhaṅgo,—,,4,372–375,,Analysis of the Truths,,,,,,,,,,
108,29 Aug,"Days 108-110
The Analysis - Faculties",Sun,Vibhaṅgapāḷi,5. Indriyavibhaṅgo,219–222,4,4,376–379,10,Analysis of the Faculties,,,,,,,,,,
109,30 Aug,,Mon,Vibhaṅgapāḷi,5. Indriyavibhaṅgo,223–224,2,4,380–383,,Analysis of the Faculties,,,,,,,,,,
110,31 Aug,,Tue,Vibhaṅgapāḷi,5. Indriyavibhaṅgo,—,,4,384–387,,Analysis of the Faculties,,,,,,,,,,
111,1 Sep,"Days 111-123
The Analysis - Dependent Origination",Wed,Vibhaṅgapāḷi,6. Paṭiccasamuppādavibhaṅgo,225–243,19,4,388–391,11,Analysis of Dependent Origination,,,,,,,,,,
112,2 Sep,,Thu,Vibhaṅgapāḷi,6. Paṭiccasamuppādavibhaṅgo,244–248,5,4,392–395,,Analysis of Dependent Origination,,,,,,,,,,
113,3 Sep,,Fri,Vibhaṅgapāḷi,6. Paṭiccasamuppādavibhaṅgo,249–255,6,4,396–399,,Analysis of Dependent Origination,,,,,,,,,,
114,4 Sep,,Sat,Vibhaṅgapāḷi,6. Paṭiccasamuppādavibhaṅgo,256–263,8,4,400–403,,Analysis of Dependent Origination,,,,,,,,,,
115,5 Sep,,Sun,Vibhaṅgapāḷi,6. Paṭiccasamuppādavibhaṅgo,265–271,7,4,404–407,,Analysis of Dependent Origination,,,,,,,,,,
